CODE,POPULATION
11,9720846
11110,150383
11140,126092
11170,229431
11200,297397
11215,349574
11230,345593
11260,394414
11290,441812
11305,311773
11320,329560
11350,528887
11380,479524
11410,312720
11440,374390
11470,457953
11500,586936
11530,405075
11545,232250
11560,373349
11590,395165
11620,499740
11650,428919
11680,541233
11710,671512
11740,457164
26,3404423
26110,41652
26140,107947
26170,89698
26200,115120
26230,357242
26260,272476
26290,270606
26320,288376
26350,403923
26380,317258
26410,236009
26440,131779
26470,209514
26500,176975
26530,215709
26710,170139
27,2427954
27110,76984
27140,342627
27170,172802
27200,147482
27230,438608
27260,426919
27290,565378
27710,257154
28,2947217
28110,138783
28140,63546
28177,406125
28185,372566
28200,530416
28237,502365
28245,299853
28260,544136
28710,69060
28720,20367
29,1455048
29110,99273
29140,299248
29155,216256
29170,433444
29200,406827
30,1471040
30110,224300
30140,238540
30170,481436
30200,351882
30230,174882
31,1142190
31110,220028
31140,322883
31170,157973
31200,218673
31710,222633
36,345341
36110,345341
41,13338020
41110,1191542
41111,275875
41113,370648
41115,175468
41117,369551
41130,939748
41131,234729
41133,218485
41135,486534
41150,455520
41170,558017
41171,241830
41173,316187
41190,825700
41210,312774
41220,523881
41250,94143
41270,654450
41271,349514
41273,304936
41280,1076996
41281,473812
41285,299323
41287,303861
41290,61309
41310,198461
41360,707485
41370,228111
41390,481430
41410,276039
41430,163622
41450,283256
41460,1073115
41461,256918
41463,440831
41465,375366
41480,456073
41500,218465
41550,185305
41570,449039
41590,836662
41610,377525
41630,226015
41650,148015
41670,111341
41800,43618
41820,62662
41830,117701
42,1539282
42110,281400
42130,352201
42150,212863
42170,90454
42190,43203
42210,82059
42230,65753
42720,68998
42730,46442
42750,38840
42760,41739
42770,37046
42780,44987
42790,24717
42800,22332
42810,31554
42820,26886
42830,27808
43,1597593
43110,842821
43112,198950
43114,194025
43111,184165
43113,265681
43130,210173
43150,133395
43720,32578
43730,50802
43740,47736
43745,37178
43750,81742
43760,37493
43770,94288
43800,29387
44,2119771
44270,166084
44130,657514
44131,258996
44133,398518
44150,105440
44180,100647
44200,313054
44210,174884
44230,117696
44250,42803
44710,51665
44760,65919
44770,52209
44790,30994
44800,99980
44810,78610
44825,62272
45,1808802
45110,655472
45111,338697
45113,316775
45130,268356
45140,284217
45180,109503
45190,81051
45210,83327
45710,91841
45720,25509
45730,24042
45740,22240
45750,27783
45770,28018
45790,54858
45800,52585
46,1854618
46110,228231
46130,281121
46150,281054
46170,114448
46230,152016
46710,46045
46720,28340
46730,25826
46770,64336
46780,40939
46790,62654
46800,38071
46810,34913
46820,69465
46830,54266
46840,81620
46860,32360
46870,53475
46880,45203
46890,50192
46900,30461
46910,39582
47,2646493
47110,504461
47111,231837
47113,272624
47130,253758
47150,140651
47170,158526
47190,417480
47210,104003
47230,101601
47250,98201
47280,71683
47290,263034
47720,23451
47730,52142
47750,25228
47760,16748
47770,36721
47820,42553
47830,31764
47840,43488
47850,115345
47900,55750
47920,31823
47930,48843
47940,9239
48,3349454
48120,1040118
48121,263184
48123,216982
48125,174956
48127,192433
48129,192563
48170,347462
48220,129711
48240,111184
48250,542842
48270,105133
48310,246878
48330,351596
48720,26957
48730,64724
48740,61825
48820,51811
48840,43102
48850,45454
48860,35140
48870,39321
48880,61681
48890,44515
50,671316
50110,490254
50130,181062
