사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2020-06,1호선,1,서울역,"962,135","917,054","160,905","150,846",2020-07-03 13:43:17
2020-06,1호선,10,동묘앞,"125,164","134,811","129,724","131,047",2020-07-03 13:43:17
2020-06,1호선,2,시청,"455,263","465,147","58,702","57,219",2020-07-03 13:43:17
2020-06,1호선,3,종각,"835,492","825,294","115,712","109,134",2020-07-03 13:43:17
2020-06,1호선,4,종로3가,"433,145","402,591","261,677","247,574",2020-07-03 13:43:17
2020-06,1호선,5,종로5가,"356,925","369,491","229,801","220,667",2020-07-03 13:43:17
2020-06,1호선,6,동대문,"212,214","217,623","109,322","113,803",2020-07-03 13:43:17
2020-06,1호선,7,신설동,"280,240","280,182","102,803","98,654",2020-07-03 13:43:17
2020-06,1호선,8,제기동,"218,651","213,342","220,491","236,612",2020-07-03 13:43:17
2020-06,1호선,9,청량리(서울시립대입구),"323,865","317,602","236,846","242,198",2020-07-03 13:43:17
2020-06,2호선,11,시청,"520,606","519,312","43,006","38,882",2020-07-03 13:43:17
2020-06,2호선,12,을지로입구,"905,600","933,870","83,375","77,980",2020-07-03 13:43:17
2020-06,2호선,13,을지로3가,"458,922","461,201","62,808","61,583",2020-07-03 13:43:17
2020-06,2호선,14,을지로4가,"242,386","242,290","79,488","76,136",2020-07-03 13:43:17
2020-06,2호선,15,동대문역사문화공원(DDP),"277,899","313,701","46,213","49,048",2020-07-03 13:43:17
2020-06,2호선,16,신당,"283,832","288,493","80,489","82,566",2020-07-03 13:43:17
2020-06,2호선,17,상왕십리,"307,527","292,562","53,288","53,122",2020-07-03 13:43:17
2020-06,2호선,18,왕십리(성동구청),"386,395","316,966","43,344","37,577",2020-07-03 13:43:17
2020-06,2호선,19,한양대,"195,259","217,739","11,211","11,675",2020-07-03 13:43:17
2020-06,2호선,20,뚝섬,"457,254","496,868","48,167","48,972",2020-07-03 13:43:17
2020-06,2호선,21,성수,"718,304","803,656","85,688","87,557",2020-07-03 13:43:17
2020-06,2호선,22,건대입구,"846,340","933,529","74,933","77,529",2020-07-03 13:43:17
2020-06,2호선,23,구의(광진구청),"536,408","516,253","86,469","88,953",2020-07-03 13:43:17
2020-06,2호선,24,강변(동서울터미널),"789,827","783,015","102,389","99,457",2020-07-03 13:43:17
2020-06,2호선,25,잠실나루,"303,303","292,111","67,784","68,127",2020-07-03 13:43:17
2020-06,2호선,26,잠실(송파구청),"1,579,737","1,563,463","146,216","140,007",2020-07-03 13:43:17
2020-06,2호선,27,잠실새내,"460,898","470,877","82,757","83,190",2020-07-03 13:43:17
2020-06,2호선,28,종합운동장,"155,387","169,265","29,182","30,777",2020-07-03 13:43:17
2020-06,2호선,29,삼성(무역센터),"1,243,867","1,288,854","96,266","88,767",2020-07-03 13:43:17
2020-06,2호선,30,선릉,"1,234,922","1,105,411","186,073","164,916",2020-07-03 13:43:17
2020-06,2호선,31,역삼,"1,088,672","1,224,860","130,358","132,087",2020-07-03 13:43:17
2020-06,2호선,32,강남,"2,098,288","2,132,736","148,919","131,690",2020-07-03 13:43:17
2020-06,2호선,33,교대(법원.검찰청),"753,977","853,245","131,580","146,756",2020-07-03 13:43:17
2020-06,2호선,34,서초,"503,796","497,950","70,716","73,285",2020-07-03 13:43:17
2020-06,2호선,35,방배,"383,999","398,979","60,243","58,883",2020-07-03 13:43:17
2020-06,2호선,36,사당,"853,153","960,393","147,229","142,626",2020-07-03 13:43:17
2020-06,2호선,37,낙성대(강감찬),"652,253","616,163","85,864","87,538",2020-07-03 13:43:17
2020-06,2호선,38,서울대입구(관악구청),"1,135,234","1,105,164","153,383","147,165",2020-07-03 13:43:17
2020-06,2호선,39,봉천,"527,240","470,628","117,511","118,855",2020-07-03 13:43:17
2020-06,2호선,40,신림,"1,525,991","1,455,894","180,446","182,128",2020-07-03 13:43:17
2020-06,2호선,41,신대방,"607,666","575,024","100,153","101,718",2020-07-03 13:43:17
2020-06,2호선,42,구로디지털단지,"1,430,337","1,426,084","134,273","135,380",2020-07-03 13:43:17
2020-06,2호선,43,대림(구로구청),"578,830","585,369","90,664","94,668",2020-07-03 13:43:17
2020-06,2호선,44,신도림,"1,177,977","1,169,808","156,023","147,766",2020-07-03 13:43:17
2020-06,2호선,45,문래,"470,798","488,802","63,020","62,375",2020-07-03 13:43:17
2020-06,2호선,46,영등포구청,"493,841","504,158","83,256","82,074",2020-07-03 13:43:17
2020-06,2호선,47,당산,"458,645","531,737","50,567","55,292",2020-07-03 13:43:17
