사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-06,1호선,1,서울역,703,16,"9,281","6,264","11,839","37,761","34,932","94,370","59,766","198,642","41,216","127,641","37,026","56,161","44,361","47,213","52,246","47,273","54,814","48,852","47,938","46,575","63,180","48,737","69,070","48,978","123,504","60,656","198,390","66,255","94,455","45,525","61,917","30,222","61,209","24,837","41,730","18,841","15,428","11,666",35,"1,415",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,1호선,10,동묘앞,92,0,"3,482",899,"3,095","4,339","5,988","10,628","7,916","24,390","7,012","18,511","8,702","18,248","13,048","22,747","17,572","24,593","23,326","26,494","25,634","25,661","28,110","22,228","27,373","18,462","28,655","14,280","24,651","10,412","12,708","6,951","6,766","4,401","5,570","3,920","3,866","4,092","1,321","3,264",1,"1,338",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,1호선,2,시청,14,1,"1,579","3,474","2,965","18,399","5,914","64,790","7,538","161,212","8,106","76,689","9,332","28,872","13,443","26,994","13,867","21,269","17,618","21,595","21,490","18,048","28,019","15,190","32,540","13,479","64,843","15,219","129,947","16,630","48,737","8,008","37,152","4,330","37,571","3,715","25,019","2,670","8,266","1,699",5,83,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,1호선,3,종각,94,3,"3,286","4,443","3,385","26,566","5,367","106,806","8,424","249,411","10,634","135,873","14,447","54,680","22,238","45,734","26,993","39,272","35,691","41,760","41,104","34,993","51,633","30,673","58,818","31,451","127,045","36,523","207,821","46,786","87,619","25,779","72,988","10,060","83,784","6,563","65,597","4,290","24,210","2,630",26,131,0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,1호선,4,종로3가,197,27,"4,327","2,780","3,499","14,092","4,868","27,232","8,573","74,116","11,689","78,078","20,419","61,203","30,810","56,711","38,132","52,404","45,509","52,169","46,753","46,205","51,333","40,260","55,772","34,190","67,261","32,167","99,469","35,897","59,284","19,783","43,912","8,453","48,623","5,829","40,059","4,258","14,301","3,609",29,699,1,1,2,2,0,0,2020-07-03 13:43:21
2020-06,1호선,5,종로5가,52,2,"1,935","4,036","2,674","16,497","5,086","41,395","7,527","109,592","11,391","64,204","18,275","49,789","26,254","45,016","31,928","42,669","36,844","39,867","43,377","37,181","46,322","33,453","51,717","27,918","69,285","25,165","101,595","23,342","49,553","13,602","30,809","6,055","25,803","4,553","19,853","3,300","6,429","2,288",17,234,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,1호선,6,동대문,495,8,"14,049","2,376","9,668","7,451","14,530","13,436","18,672","25,850","17,388","23,863","16,523","22,399","17,443","23,917","19,909","22,968","20,907","22,119","21,185","21,008","21,647","20,109","22,973","18,298","24,393","19,074","23,839","19,307","16,071","21,241","13,456","14,320","12,670","11,315","11,104","10,720","4,592","10,726",20,920,0,0,2,1,0,0,2020-07-03 13:43:21
2020-06,1호선,7,신설동,252,6,"9,370","2,462","8,823","8,751","17,577","25,875","23,934","68,710","16,919","39,981","14,458","21,017","17,410","17,912","17,891","17,297","19,372","18,038","19,381","16,918","23,443","17,360","28,207","18,173","38,635","21,357","61,218","26,564","23,939","18,483","15,097","11,609","13,648","10,631","9,959","9,767","3,493","7,379",17,546,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,1호선,8,제기동,419,7,"4,701","2,355","8,346","9,047","20,972","19,293","29,749","42,697","21,926","38,280","25,315","36,055","31,912","37,594","33,188","32,378","33,787","33,646","34,906","35,702","36,422","33,131","35,450","27,973","36,425","23,532","36,996","25,726","18,432","17,644","11,640","10,914","8,846","9,379","7,071","8,967","2,633","5,226",6,408,0,0,0,0,0,0,2020-07-03 13:43:21
