교육청,소재구,학교명,홈페이지 주소,설립,우편번호,주소,전화번호,1학년 학급수,2학년 학급수,3학년 학급수,4학년 학급수,5학년 학급수,6학년 학급수,복식 학급수,특수 학급수,1학년 학생수 계,1학년 여학생 수,2학년 학생수 계,2학년 여학생 수,3학년 학생수 계,3학년 여학생 수,4학년 학생수 계,4학년 여학생 수,5학년 학생수 계,5학년 여학생 수,6학년 학생수 계,6학년 여학생 수,복식 학급 학생수 계,복식 학급 여학생수,특수 학급 학생수 계,특수 학급 여학생수,학급당 평균 학생수,교원수 계,여교원수 계,정규 교원수 계,정규 여교원수,기간제 교원수 계,기간제 여교원수,직원수,여직원수,보통 교실 수,비고
서부,서대문구,서울안산초등학교,http://www.ansan.es.kr,공립,120-853,서울 서대문구 통일로 321 (홍제동서울안산초등학교),02-737-4265,5,6,6,6,6,5,0,2,128,66,156,75,140,65,137,65,144,62,134,61,0,0,8,2,23.5,55,51,54,50,1,1,5,2,37,
서부,은평구,서울역촌초등학교,http://yeokchon.es.kr,공립,122-903,서울 은평구 은평로3길 25  서울역촌초등학교 (역촌동서울역촌초등학교),02-352-2245,12,12,9,11,12,11,0,0,325,156,316,153,242,113,279,154,312,151,290,149,0,0,0,0,26.3,102,92,102,92,0,0,8,4,70,
서부,서대문구,서울연가초등학교,http://www.yeonga.es.kr,공립,120-807,서울 서대문구 증가로12가길 49-50 (남가좌동연가초등학교),02-372-3044,10,10,10,12,12,13,0,0,268,129,263,122,254,124,306,142,308,154,337,168,0,0,0,0,25.9,105,92,103,91,2,1,7,2,67,
서부,은평구,서울연광초등학교,http://www.yeonkwang.es.kr,공립,122-866,서울특별시 은평구 연서로35길 37 (불광동연광초등학교),02-353-5141,3,3,3,4,4,5,0,2,59,24,69,35,64,33,82,34,81,33,99,45,0,0,10,4,19.3,43,38,41,37,2,1,5,2,24,
서부,은평구,서울연신초등학교,http://www.yeonsin.es.kr,공립,122-851,서울 은평구 연서로 347 (불광동연신초등학교),02-387-0373,3,3,3,3,3,3,0,2,65,31,61,40,54,24,59,30,73,39,73,39,0,0,10,0,19.8,33,31,32,30,1,1,6,4,23,
서부,은평구,서울연은초등학교,http://www.yeoneun.es.kr,공립,122-915,서울특별시 은평구 백련산로2길 35 (응암동),02-372-6999,6,4,3,3,4,4,0,1,134,66,86,41,68,37,69,37,102,58,98,48,0,0,3,1,22.4,40,38,38,36,2,2,4,3,28,
서부,은평구,서울연천초등학교,http://yc1985.es.kr/,공립,122-862,서울특별시 은평구 연서로34길 22 (불광동연천초등학교),02-357-3911,3,3,2,2,3,3,0,0,64,31,53,27,49,28,47,16,56,23,70,34,0,0,0,0,21.2,31,26,31,26,0,0,5,3,16,
서부,서대문구,서울연희초등학교,http://www.yeonhui.es.kr,공립,120-829,서울 서대문구 연희로 136  서울연희초등학교 (연희동서울연희초등학교),02-338-9919,7,8,7,8,8,9,0,2,196,97,204,101,172,87,207,100,205,97,213,96,0,0,8,5,24.6,72,67,70,65,2,2,6,3,51,
서부,마포구,서울염리초등학교,http://www.yeomri.es.kr,공립,121-874,서울특별시 마포구 토정로37길 37 (염리동염리초등학교),02-715-4916,8,7,6,6,6,5,0,2,232,121,190,95,182,84,175,85,175,84,134,71,0,0,9,3,27.4,62,55,62,55,0,0,5,1,40,
서부,마포구,서울용강초등학교,http://www.yonggang.es.kr,공립,121-809,서울 마포구 백범로17길 9 (대흥동용강초등학교),02-717-1660,3,4,4,4,5,4,0,2,73,42,67,32,80,36,78,33,113,48,95,52,0,0,4,1,19.6,42,38,40,37,2,1,7,4,26,
서부,은평구,서울은명초등학교,http://www.em.es.kr,공립,122-910,서울 은평구 은평로4길 21-9  서울은명초등학교 (응암동서울은명초등학교),02-359-9517,8,8,8,8,8,8,0,2,242,105,253,128,231,113,245,116,271,130,243,120,0,0,14,6,30,71,61,71,61,0,0,5,3,48,
서부,은평구,서울은빛초등학교,http://www.ev.es.kr,공립,122-200,서울특별시 은평구 진관3로 73-17 (진관동서울은빛초등학교),02-388-4923,9,8,8,8,6,6,0,1,247,135,233,113,206,99,222,118,167,73,165,78,0,0,7,1,27.1,64,49,64,49,0,0,6,4,49,
서부,은평구,서울은진초등학교,http://www.eunjin.es.kr,공립,122-200,서울특별시 은평구 진관1로 21-20 (진관동은진초등학교),02-351-3691,5,5,4,4,5,4,0,1,136,69,122,60,95,42,115,54,123,68,93,49,0,0,4,2,24.6,42,39,42,39,0,0,4,3,28,
서부,은평구,서울은평초등학교,http://www.eunpyeong.es.kr,공립,122-827,서울특별시 은평구 은평로  239,02-355-2578,6,6,5,6,8,7,0,2,156,72,154,71,128,59,154,67,186,94,164,82,0,0,8,3,23.8,60,55,60,55,0,0,6,4,43,
서부,은평구,서울응암초등학교,http://www.eungam.es.kr/,공립,122-929,서울특별시 은평구 가좌로6길 20 (응암동서울응암초등학교),02-309-5555,7,6,6,7,8,7,0,2,142,68,127,60,138,51,160,75,182,83,178,83,0,0,14,7,21.9,72,61,72,61,0,0,6,3,43,
서부,서대문구,서울인왕초등학교,http://www.inwang.es.kr,공립,120-857,서울 서대문구 세무서길 33-9 (홍제동서울인왕초등학교),02-395-4094,5,4,5,5,5,5,0,1,107,59,105,51,115,52,129,68,124,72,125,59,0,0,3,0,23.6,47,39,47,39,0,0,5,2,29,
서부,마포구,서울중동초등학교,http://www.jungdong.es.kr,공립,121-849,서울특별시 마포구 월드컵북로 152 (성산동중동초등학교),02-373-4835,4,4,4,5,5,4,0,2,93,37,99,44,85,37,113,47,121,66,82,39,0,0,8,2,21.5,44,39,42,37,2,2,4,3,28,
