"A 행정구역(시군구)별",M202004 2020. 04,M202004 2020. 04,M202004 2020. 04,M202005 2020. 05,M202005 2020. 05,M202005 2020. 05,M202006 2020. 06,M202006 2020. 06,M202006 2020. 06
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"00 전국",51842524,25857509,25985015,51841371,25856030,25985341,51839408,25853937,25985471
"11 서울특별시",9726787,4737843,4988944,9724496,4735431,4989065,9720846,4732275,4988571
"11110 종로구",150936,73563,77373,150623,73407,77216,150383,73288,77095
"11140 중구",126126,61770,64356,126120,61747,64373,126092,61697,64395
"11170 용산구",229369,110604,118765,229393,110537,118856,229431,110527,118904
"11200 성동구",298249,145833,152416,297820,145567,152253,297397,145258,152139
"11215 광진구",350016,169213,180803,349800,169049,180751,349574,168879,180695
"11230 동대문구",345793,171621,174172,345815,171565,174250,345593,171392,174201
"11260 중랑구",395072,195784,199288,394982,195693,199289,394414,195349,199065
"11290 성북구",442174,213743,228431,442148,213614,228534,441812,213431,228381
"11305 강북구",312691,152594,160097,312270,152333,159937,311773,152028,159745
"11320 도봉구",330707,161581,169126,330149,161195,168954,329560,160855,168705
"11350 노원구",530302,256344,273958,529617,256045,273572,528887,255624,273263
"11380 은평구",477973,230057,247916,478029,230062,247967,479524,230640,248884
"11410 서대문구",312809,150069,162740,312869,150058,162811,312720,149920,162800
"11440 마포구",374426,176856,197570,374837,176985,197852,374390,176664,197726
"11470 양천구",457132,224563,232569,458181,225084,233097,457953,224908,233045
"11500 강서구",588281,284543,303738,587553,284115,303438,586936,283697,303239
"11530 구로구",405271,200239,205032,405030,200098,204932,405075,200098,204977
"11545 금천구",232396,117935,114461,232425,117899,114526,232250,117762,114488
"11560 영등포구",372225,184446,187779,372568,184535,188033,373349,184905,188444
"11590 동작구",394988,191207,203781,395180,191281,203899,395165,191211,203954
"11620 관악구",498978,250442,248536,499431,250628,248803,499740,250829,248911
"11650 서초구",429729,205452,224277,429340,205264,224076,428919,205037,223882
