"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"서울특별시  (1100000000)","9,720,846","9,720,846","646,238","800,377","1,465,500","1,496,864","1,547,624","1,532,341","1,217,518","697,099","269,405","41,346","6,534"
"서울특별시 종로구 (1111000000)","150,383","150,383","7,896","11,309","23,446","20,146","22,641","25,662","19,556","12,595","5,812","1,053","267"
"서울특별시 종로구 청운효자동(1111051500)","12,609","12,609","870","1,213","1,613","1,729","2,190","2,005","1,368","1,022","505","75","19"
"서울특별시 종로구 사직동(1111053000)","9,506","9,506","592","690","1,251","1,411","1,490","1,549","1,181","775","457","91","19"
"서울특별시 종로구 삼청동(1111054000)","2,707","2,707","105","205","343","371","369","427","406","290","153","30","8"
"서울특별시 종로구 부암동(1111055000)","10,050","10,050","587","935","1,377","1,215","1,657","1,716","1,281","805","390","76","11"
"서울특별시 종로구 평창동(1111056000)","18,519","18,519","1,199","1,658","2,509","2,246","2,801","3,325","2,437","1,409","754","156","25"
"서울특별시 종로구 무악동(1111057000)","8,645","8,645","725","1,023","944","974","1,568","1,402","989","652","302","49","17"
"서울특별시 종로구 교남동(1111058000)","10,534","10,534","899","860","1,292","1,794","1,849","1,602","1,126","733","316","48","15"
"서울특별시 종로구 가회동(1111060000)","4,354","4,354","217","345","491","580","767","702","588","447","170","37","10"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,248","7,248","196","219","842","922","953","1,388","1,395","841","362","91","39"
"서울특별시 종로구 종로5.6가동(1111063000)","5,323","5,323","117","238","1,117","692","623","975","773","540","200","39","9"
"서울특별시 종로구 이화동(1111064000)","7,774","7,774","267","455","1,708","1,278","1,044","1,129","915","612","305","48","13"
"서울특별시 종로구 혜화동(1111065000)","16,868","16,868","714","1,378","4,487","2,134","2,281","2,309","1,584","1,247","622","90","22"
"서울특별시 종로구 창신제1동(1111067000)","5,162","5,162","149","244","616","516","664","1,158","994","559","208","45","9"
"서울특별시 종로구 창신제2동(1111068000)","8,394","8,394","256","525","1,189","920","1,160","1,844","1,313","821","305","48","13"
"서울특별시 종로구 창신제3동(1111069000)","7,001","7,001","402","551","966","986","983","1,288","987","548","234","45","11"
"서울특별시 종로구 숭인제1동(1111070000)","6,149","6,149","311","390","816","854","962","1,142","872","535","223","35","9"
"서울특별시 종로구 숭인제2동(1111071000)","9,540","9,540","290","380","1,885","1,524","1,280","1,701","1,347","759","306","50","18"
"서울특별시 중구 (1114000000)","126,092","126,092","7,097","7,131","18,565","20,393","18,388","20,939","17,228","10,601","4,695","858","197"
"서울특별시 중구 소공동(1114052000)","2,103","2,103","180","112","209","438","456","309","233","106","45","10","5"
"서울특별시 중구 회현동(1114054000)","5,203","5,203","202","207","513","563","675","1,000","1,058","574","283","85","43"
"서울특별시 중구 명동(1114055000)","2,992","2,992","91","153","355","394","439","513","532","336","142","28","9"
"서울특별시 중구 필동(1114057000)","3,982","3,982","196","185","697","606","488","611","609","356","175","50","9"
"서울특별시 중구 장충동(1114058000)","4,697","4,697","189","337","1,226","667","589","602","501","378","173","32","3"
"서울특별시 중구 광희동(1114059000)","5,034","5,034","142","205","761","774","621","878","858","536","207","37","15"
"서울특별시 중구 을지로동(1114060500)","1,817","1,817","54","35","206","282","195","342","397","199","76","21","10"
"서울특별시 중구 신당동(1114061500)","7,567","7,567","265","299","1,310","1,277","1,086","1,377","1,003","644","245","53","8"
"서울특별시 중구 다산동(1114062500)","14,454","14,454","600","878","2,420","2,310","2,127","2,365","1,926","1,243","494","78","13"
"서울특별시 중구 약수동(1114063500)","17,377","17,377","1,176","1,015","2,071","2,498","2,525","2,902","2,610","1,645","779","147","9"
"서울특별시 중구 청구동(1114064500)","14,150","14,150","793","930","2,019","2,232","2,022","2,386","1,906","1,172","591","91","8"
"서울특별시 중구 신당제5동(1114065000)","10,644","10,644","617","592","1,654","1,780","1,602","1,880","1,298","832","330","47","12"
"서울특별시 중구 동화동(1114066500)","10,783","10,783","774","878","1,492","1,373","1,665","1,967","1,384","769","407","60","14"
"서울특별시 중구 황학동(1114067000)","12,712","12,712","759","531","2,135","2,875","1,846","1,798","1,488","887","336","49","8"
"서울특별시 중구 중림동(1114068000)","12,577","12,577","1,059","774","1,497","2,324","2,052","2,009","1,425","924","412","70","31"
"서울특별시 용산구 (1117000000)","229,431","229,431","13,911","15,964","33,267","38,124","35,934","36,658","28,050","17,202","8,376","1,582","363"
