"행정구역","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0세","2020년06월_남_1세","2020년06월_남_2세","2020년06월_남_3세","2020년06월_남_4세","2020년06월_남_5세","2020년06월_남_6세","2020년06월_남_7세","2020년06월_남_8세","2020년06월_남_9세","2020년06월_남_10세","2020년06월_남_11세","2020년06월_남_12세","2020년06월_남_13세","2020년06월_남_14세","2020년06월_남_15세","2020년06월_남_16세","2020년06월_남_17세","2020년06월_남_18세","2020년06월_남_19세","2020년06월_남_20세","2020년06월_남_21세","2020년06월_남_22세","2020년06월_남_23세","2020년06월_남_24세","2020년06월_남_25세","2020년06월_남_26세","2020년06월_남_27세","2020년06월_남_28세","2020년06월_남_29세","2020년06월_남_30세","2020년06월_남_31세","2020년06월_남_32세","2020년06월_남_33세","2020년06월_남_34세","2020년06월_남_35세","2020년06월_남_36세","2020년06월_남_37세","2020년06월_남_38세","2020년06월_남_39세","2020년06월_남_40세","2020년06월_남_41세","2020년06월_남_42세","2020년06월_남_43세","2020년06월_남_44세","2020년06월_남_45세","2020년06월_남_46세","2020년06월_남_47세","2020년06월_남_48세","2020년06월_남_49세","2020년06월_남_50세","2020년06월_남_51세","2020년06월_남_52세","2020년06월_남_53세","2020년06월_남_54세","2020년06월_남_55세","2020년06월_남_56세","2020년06월_남_57세","2020년06월_남_58세","2020년06월_남_59세","2020년06월_남_60세","2020년06월_남_61세","2020년06월_남_62세","2020년06월_남_63세","2020년06월_남_64세","2020년06월_남_65세","2020년06월_남_66세","2020년06월_남_67세","2020년06월_남_68세","2020년06월_남_69세","2020년06월_남_70세","2020년06월_남_71세","2020년06월_남_72세","2020년06월_남_73세","2020년06월_남_74세","2020년06월_남_75세","2020년06월_남_76세","2020년06월_남_77세","2020년06월_남_78세","2020년06월_남_79세","2020년06월_남_80세","2020년06월_남_81세","2020년06월_남_82세","2020년06월_남_83세","2020년06월_남_84세","2020년06월_남_85세","2020년06월_남_86세","2020년06월_남_87세","2020년06월_남_88세","2020년06월_남_89세","2020년06월_남_90세","2020년06월_남_91세","2020년06월_남_92세","2020년06월_남_93세","2020년06월_남_94세","2020년06월_남_95세","2020년06월_남_96세","2020년06월_남_97세","2020년06월_남_98세","2020년06월_남_99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0세","2020년06월_여_1세","2020년06월_여_2세","2020년06월_여_3세","2020년06월_여_4세","2020년06월_여_5세","2020년06월_여_6세","2020년06월_여_7세","2020년06월_여_8세","2020년06월_여_9세","2020년06월_여_10세","2020년06월_여_11세","2020년06월_여_12세","2020년06월_여_13세","2020년06월_여_14세","2020년06월_여_15세","2020년06월_여_16세","2020년06월_여_17세","2020년06월_여_18세","2020년06월_여_19세","2020년06월_여_20세","2020년06월_여_21세","2020년06월_여_22세","2020년06월_여_23세","2020년06월_여_24세","2020년06월_여_25세","2020년06월_여_26세","2020년06월_여_27세","2020년06월_여_28세","2020년06월_여_29세","2020년06월_여_30세","2020년06월_여_31세","2020년06월_여_32세","2020년06월_여_33세","2020년06월_여_34세","2020년06월_여_35세","2020년06월_여_36세","2020년06월_여_37세","2020년06월_여_38세","2020년06월_여_39세","2020년06월_여_40세","2020년06월_여_41세","2020년06월_여_42세","2020년06월_여_43세","2020년06월_여_44세","2020년06월_여_45세","2020년06월_여_46세","2020년06월_여_47세","2020년06월_여_48세","2020년06월_여_49세","2020년06월_여_50세","2020년06월_여_51세","2020년06월_여_52세","2020년06월_여_53세","2020년06월_여_54세","2020년06월_여_55세","2020년06월_여_56세","2020년06월_여_57세","2020년06월_여_58세","2020년06월_여_59세","2020년06월_여_60세","2020년06월_여_61세","2020년06월_여_62세","2020년06월_여_63세","2020년06월_여_64세","2020년06월_여_65세","2020년06월_여_66세","2020년06월_여_67세","2020년06월_여_68세","2020년06월_여_69세","2020년06월_여_70세","2020년06월_여_71세","2020년06월_여_72세","2020년06월_여_73세","2020년06월_여_74세","2020년06월_여_75세","2020년06월_여_76세","2020년06월_여_77세","2020년06월_여_78세","2020년06월_여_79세","2020년06월_여_80세","2020년06월_여_81세","2020년06월_여_82세","2020년06월_여_83세","2020년06월_여_84세","2020년06월_여_85세","2020년06월_여_86세","2020년06월_여_87세","2020년06월_여_88세","2020년06월_여_89세","2020년06월_여_90세","2020년06월_여_91세","2020년06월_여_92세","2020년06월_여_93세","2020년06월_여_94세","2020년06월_여_95세","2020년06월_여_96세","2020년06월_여_97세","2020년06월_여_98세","2020년06월_여_99세","2020년06월_여_100세 이상"
"전국  (0000000000)","25,853,937","25,853,937","142,041","162,792","178,029","197,686","220,459","228,394","225,139","239,843","245,598","250,594","233,001","235,954","253,623","239,263","228,928","233,350","251,494","253,391","271,981","315,257","328,804","326,072","342,105","352,491","368,982","372,699","377,566","384,138","377,217","344,090","340,087","329,298","316,725","320,339","333,262","331,992","360,937","397,311","427,462","431,163","428,161","390,003","386,286","384,497","389,740","413,511","449,016","456,603","462,237","479,100","459,159","480,186","429,811","421,680","426,940","424,386","384,852","450,595","413,138","474,501","441,007","399,251","378,331","350,198","327,578","334,116","261,656","253,233","249,170","194,406","215,478","202,637","201,101","192,254","130,305","146,085","135,008","154,680","147,792","116,956","105,889","97,724","82,573","72,908","62,256","51,909","40,591","31,748","25,256","17,824","14,229","12,057","8,365","6,042","3,941","2,993","2,374","2,401","1,522","1,001","5,133","25,985,471","25,985,471","134,872","154,028","168,512","187,531","210,662","217,436","214,357","228,400","232,275","237,146","219,134","222,501","239,123","224,930","213,453","217,763","233,401","233,963","250,502","290,494","301,983","297,976","316,883","324,407","331,147","328,023","333,551","340,866","341,148","313,431","305,432","300,791","296,321","303,097","312,554","314,102","344,420","382,306","411,936","412,650","414,197","378,871","374,928","367,640","379,885","401,230","436,929","445,019","442,046","462,368","446,120","473,535","429,572","410,861","410,862","418,104","375,338","432,327","408,246","482,047","454,644","406,003","380,279","359,690","341,577","354,300","279,750","273,146","270,068","214,919","239,666","228,547","228,707","225,411","153,151","182,171","179,533","205,612","203,529","169,426","161,559","155,802","137,933","130,048","120,001","107,292","89,652","76,785","66,043","52,316","45,712","37,962","29,537","22,162","15,870","11,362","7,915","8,900","5,417","3,441","16,001"
"서울특별시  (1100000000)","4,732,275","4,732,275","24,490","27,613","28,810","31,359","34,737","35,796","35,176","37,290","37,919","38,680","36,507","37,028","40,742","38,719","37,561","38,547","41,832","41,809","44,521","52,970","55,293","56,059","61,064","64,969","70,799","75,391","80,440","85,131","85,400","78,493","76,983","74,839","70,649","70,420","71,262","69,736","74,345","77,544","81,932","81,447","79,135","71,439","69,274","69,562","69,724","74,333","80,199","81,934","84,432","86,555","82,562","83,785","74,792","71,731","72,676","73,006","67,391","76,560","70,234","79,445","75,717","70,061","67,375","62,143","59,496","61,522","48,854","47,950","45,439","36,443","41,076","38,174","38,459","37,701","26,249","28,783","26,544","29,930","28,453","22,376","19,533","17,746","14,781","12,600","10,874","8,797","6,719","5,407","4,340","3,170","2,559","2,256","1,606","1,177","773","608","539","578","374","312","1,710","4,988,571","4,988,571","22,975","25,382","27,155","30,013","33,386","34,065","33,269","35,605","35,802","36,716","34,657","35,366","38,176","36,689","34,912","36,385","39,243","39,412","43,016","52,285","57,070","59,770","66,489","72,638","78,376","80,454","83,769","86,872","87,085","79,938","76,346","74,802","71,547","71,099","71,409","69,418","73,172","77,676","81,751","80,487","80,778","72,776","71,004","70,671","71,319","75,502","81,730","84,127","84,986","88,144","83,922","86,495","78,304","73,630","73,488","75,875","70,152","78,312","73,301","86,680","84,229","76,240","73,079","69,517","66,704","69,838","55,728","53,893","51,701","41,589","47,495","44,741","45,376","45,129","31,523","34,222","32,850","35,511","34,421","28,086","25,608","24,265","21,222","19,657","17,760","15,607","13,026","11,024","9,514","7,755","6,866","5,987","4,745","3,676","2,649","1,886","1,488","1,515","1,052","700","4,824"
"부산광역시  (2600000000)","1,668,618","1,668,618","7,984","9,015","10,594","11,681","13,295","13,589","13,424","14,063","14,294","14,356","13,199","13,178","14,060","13,245","12,714","13,198","14,370","14,737","15,711","18,757","19,774","20,078","21,760","23,060","24,335","24,527","24,037","24,413","23,495","21,220","21,067","19,875","18,955","19,076","19,833","19,901","21,883","24,131","26,516","27,150","27,634","24,313","23,787","23,182","23,348","25,200","27,191","27,557","28,028","28,841","28,017","29,698","26,781","26,142","26,880","25,850","24,820","29,927","28,243","32,797","30,846","28,874","28,149","27,201","25,398","26,723","21,270","20,571","20,310","16,379","17,777","16,678","16,135","15,026","10,031","11,946","10,849","12,234","10,965","8,920","7,908","6,959","5,637","5,024","4,010","3,271","2,600","1,919","1,545","1,065","821","723","501","353","212","176","138","131","98","49","410","1,735,805","1,735,805","7,500","8,845","9,848","11,200","12,504","12,967","12,540","13,320","13,547","13,798","12,271","12,564","13,317","12,396","11,870","12,341","13,391","13,500","14,638","17,309","18,678","18,707","20,815","21,349","21,827","21,503","21,642","21,657","21,839","19,660","19,325","18,689","18,181","18,254","18,533","19,087","21,148","23,622","25,735","26,581","26,370","23,749","23,004","22,164","23,104","25,036","27,042","27,764","27,958","29,465","28,843","30,622","28,670","27,753","27,895","27,862","26,251","31,331","30,642","36,733","34,565","31,723","30,379","29,576","28,783","29,430","23,157","23,610","22,868","18,589","20,489","19,737","19,039","17,860","11,453","14,553","13,702","15,476","14,603","12,633","11,538","10,736","9,092","8,597","7,647","6,854","5,468","4,677","4,189","3,085","2,723","2,422","1,919","1,308","937","695","479","501","323","196","1,438"
"대구광역시  (2700000000)","1,198,815","1,198,815","6,157","7,048","7,879","9,010","10,046","10,297","10,140","10,922","11,107","11,440","10,529","10,789","11,658","11,043","10,939","11,244","12,428","12,784","13,503","15,613","16,619","16,206","17,225","17,770","18,349","17,987","17,915","17,710","17,443","15,455","15,641","14,824","13,896","13,979","14,495","14,138","15,202","16,760","18,053","18,758","18,479","17,008","16,930","17,561","17,645","18,934","20,406","20,993","21,318","21,985","21,780","22,627","21,322","20,430","20,410","20,056","18,625","21,557","20,357","22,323","20,785","18,926","17,213","16,673","15,432","15,330","12,171","12,686","12,293","9,399","10,342","10,135","9,291","8,396","5,275","6,320","6,432","7,379","6,773","5,286","4,776","4,418","3,607","3,276","2,803","2,412","1,798","1,443","1,133","718","516","452","328","218","137","123","71","68","43","26","165","1,229,139","1,229,139","5,776","6,613","7,593","8,583","9,643","9,915","9,788","10,319","10,717","10,638","9,749","9,996","11,016","10,381","9,962","10,306","11,158","11,293","11,989","14,073","14,702","14,118","15,661","15,947","15,888","15,030","15,094","14,978","14,796","13,372","13,109","12,391","12,021","12,510","12,758","12,901","14,750","17,099","18,347","18,734","18,898","17,435","17,174","17,506","18,064","19,501","21,289","21,935","22,064","22,755","22,674","23,641","22,139","21,248","21,022","21,210","19,412","21,918","20,964","23,906","22,674","19,937","17,743","17,759","16,983","17,022","13,664","14,895","14,380","11,016","11,757","12,259","11,402","10,698","6,329","8,471","9,221","10,083","9,438","8,169","7,678","7,082","6,335","5,798","5,408","4,640","3,938","3,279","2,811","2,221","1,748","1,425","1,163","868","584","432","262","256","188","116","538"
"인천광역시  (2800000000)","1,476,813","1,476,813","8,315","9,547","10,222","11,357","12,680","13,294","12,958","13,736","14,215","14,523","13,439","13,669","14,485","13,790","13,089","13,170","14,184","14,152","15,333","17,452","18,523","18,543","19,333","20,305","21,376","22,223","22,932","23,423","23,036","21,189","20,382","19,621","18,468","18,764","19,773","19,613","21,436","23,585","25,730","25,999","25,939","23,277","22,956","22,527","22,997","24,373","25,860","26,483","26,662","27,602","26,326","27,317","24,574","24,295","24,940","25,561","23,367","27,385","24,953","28,246","26,094","23,377","21,642","19,573","17,948","17,912","13,779","12,986","12,551","9,302","10,973","10,046","9,966","9,675","6,540","6,922","6,618","6,987","6,692","5,171","4,563","4,343","3,683","3,075","2,769","2,288","1,737","1,397","1,082","778","608","584","395","311","172","135","113","142","76","58","246","1,470,404","1,470,404","7,777","9,068","9,498","10,803","12,181","12,691","12,333","13,127","13,474","13,727","12,624","12,941","13,950","12,955","12,473","12,321","13,364","13,421","14,245","16,366","16,939","16,854","18,437","19,213","19,838","19,933","20,478","21,189","21,261","19,074","18,534","17,830","17,312","17,577","18,407","18,309","20,337","22,509","24,321","24,306","24,403","22,033","22,120","21,151","21,597","23,367","25,020","25,968","25,562","26,936","26,030","28,022","25,623","24,473","24,842","26,025","23,030","26,477","24,509","27,753","26,092","23,037","21,651","19,587","18,219","18,696","14,537","13,541","13,041","9,894","11,561","11,029","11,000","11,291","7,692","8,381","8,265","9,433","9,200","7,663","7,140","7,056","6,165","5,853","5,396","4,812","4,010","3,619","3,092","2,536","2,204","1,914","1,358","1,121","800","657","371","410","273","187","682"
"광주광역시  (2900000000)","720,060","720,060","3,805","4,537","5,255","5,991","6,662","6,986","6,943","7,721","7,654","7,884","7,465","7,516","8,205","7,859","7,569","7,690","8,445","8,636","9,226","10,674","11,018","10,931","11,514","11,483","11,499","11,213","11,007","10,845","10,229","9,204","8,860","8,381","8,116","8,409","8,805","8,928","10,040","11,214","12,050","11,687","11,899","11,134","10,931","11,489","11,019","11,920","13,043","13,167","12,731","13,630","12,697","13,446","11,932","11,585","11,948","10,890","10,287","11,607","9,992","11,531","10,997","9,710","9,140","8,046","7,515","7,746","5,901","5,519","5,868","5,093","5,315","5,041","4,877","4,837","3,446","3,641","3,148","3,874","3,733","2,750","2,487","2,294","1,962","1,661","1,374","1,213","916","695","586","374","357","264","184","141","92","49","37","53","26","11","53","734,988","734,988","3,790","4,361","4,911","5,624","6,432","6,520","6,633","7,034","7,237","7,433","6,946","7,161","7,530","7,341","7,001","7,188","7,698","7,902","8,538","9,793","10,138","10,066","10,642","10,601","10,500","10,207","9,771","9,784","9,595","8,518","8,042","7,839","7,745","8,084","8,427","8,528","9,602","10,995","12,011","11,673","12,164","11,373","11,290","11,324","11,171","12,036","13,172","13,430","13,079","13,725","12,850","13,638","12,218","11,575","12,119","11,157","10,323","11,552","10,264","12,215","11,866","10,564","9,728","8,736","7,921","8,502","6,764","6,428","6,670","6,007","6,264","5,914","6,057","5,944","4,112","4,678","4,142","4,930","5,032","4,144","3,800","3,505","3,290","2,971","2,666","2,466","2,104","1,727","1,432","1,293","1,165","863","651","514","379","250","155","267","132","73","366"
"대전광역시  (3000000000)","734,441","734,441","3,893","4,596","5,217","5,761","6,496","6,738","6,568","6,905","7,360","7,357","6,887","7,053","7,673","7,308","7,036","7,365","7,877","7,907","8,599","9,678","10,039","10,215","10,922","11,431","11,878","11,822","11,734","12,028","11,324","10,420","10,388","9,818","9,577","9,362","9,584","9,315","10,075","11,039","11,745","11,893","11,565","10,853","10,856","10,787","11,071","11,673","13,005","13,008","13,199","13,755","13,153","14,081","12,200","11,835","11,241","11,885","10,056","11,960","11,383","13,111","12,015","10,369","10,016","9,606","8,745","8,960","6,834","6,541","6,521","4,967","5,644","5,201","4,904","4,688","3,202","3,558","3,427","3,736","3,721","2,661","2,466","2,339","2,093","1,737","1,437","1,222","1,006","808","636","425","339","280","206","159","110","66","46","55","32","19","84","736,599","736,599","3,749","4,375","4,797","5,614","6,034","6,362","6,298","6,716","6,690","7,013","6,600","6,523","7,252","6,896","6,565","6,676","7,390","7,378","7,694","9,182","9,622","9,789","10,349","10,705","10,558","10,189","10,202","10,261","10,102","9,348","8,652","8,306","8,299","8,588","8,788","8,775","9,507","10,571","11,612","11,803","11,525","10,950","11,043","10,913","11,297","11,731","13,081","13,317","12,917","13,544","12,915","14,385","12,578","11,691","11,102","12,124","10,040","11,745","11,470","13,800","12,663","10,996","10,292","9,641","9,332","9,595","7,519","6,806","6,925","5,469","6,236","5,869","5,483","5,331","3,647","4,463","4,407","4,913","4,938","3,842","3,642","3,681","3,258","2,980","2,841","2,511","2,122","1,781","1,556","1,199","1,058","898","757","497","358","243","193","202","114","80","263"
"울산광역시  (3100000000)","586,939","586,939","3,435","3,992","4,442","5,013","5,643","5,860","5,742","5,916","6,080","6,228","5,738","5,831","6,046","5,795","5,354","5,565","5,894","5,957","6,357","7,431","7,921","7,681","8,162","8,364","8,468","8,602","8,427","8,616","8,375","7,670","7,884","7,523","7,152","7,240","7,495","7,574","8,336","9,159","10,055","10,277","10,340","9,197","9,155","8,828","8,679","9,262","9,694","10,128","10,321","10,598","10,595","11,259","10,514","10,551","11,180","10,747","9,578","11,124","10,310","11,558","10,304","9,387","8,506","7,794","7,181","7,163","5,630","5,393","5,121","4,170","4,111","3,959","3,686","3,244","2,035","2,382","2,095","2,488","2,058","1,597","1,456","1,333","946","855","664","620","488","368","277","183","134","119","73","53","38","19","30","13","5","10","33","555,251","555,251","3,390","3,719","4,207","4,767","5,275","5,458","5,484","5,728","5,645","5,737","5,216","5,311","5,739","5,264","4,967","4,826","5,282","5,265","5,665","6,319","6,439","6,083","6,593","6,603","6,463","6,342","6,342","6,562","6,708","6,320","6,193","6,050","6,042","6,353","6,669","6,698","7,753","8,715","9,456","9,388","9,489","8,594","8,447","8,012","8,396","9,050","9,881","10,080","10,355","10,768","10,734","11,565","10,669","10,229","10,332","10,062","8,970","10,109","9,506","11,122","9,919","8,962","8,314","7,728","7,192","7,090","5,628","5,412","5,060","4,031","4,200","3,937","3,777","3,345","2,135","2,768","2,658","3,085","2,757","2,299","2,284","2,025","1,903","1,765","1,625","1,418","1,259","1,031","886","682","583","533","403","315","223","160","112","108","67","34","132"
"세종특별자치시  (3600000000)","172,234","172,234","1,756","2,050","2,107","2,314","2,603","2,674","2,518","2,701","2,702","2,738","2,492","2,420","2,427","2,263","2,069","1,912","1,884","1,716","1,655","1,761","1,811","1,637","1,737","1,733","1,758","1,737","1,867","1,960","2,033","2,007","2,237","2,289","2,436","2,682","2,816","2,914","3,082","3,461","3,954","3,763","3,947","3,483","3,347","3,344","3,236","3,419","3,485","3,290","3,293","3,171","2,820","2,818","2,368","2,211","1,983","2,246","1,765","2,174","1,882","2,252","2,004","1,802","1,713","1,486","1,511","1,534","1,150","1,046","1,034","821","911","887","713","725","481","544","508","572","558","432","371","384","301","293","250","231","181","132","93","85","75","55","35","34","15","16","7","10","8","6","10","173,107","173,107","1,626","1,960","2,136","2,242","2,453","2,467","2,457","2,534","2,527","2,540","2,390","2,423","2,492","2,253","2,025","1,905","1,951","1,769","1,629","1,641","1,619","1,599","1,493","1,548","1,644","1,638","1,774","2,002","2,268","2,233","2,372","2,432","2,605","2,849","2,827","2,985","3,314","3,807","4,098","4,000","3,930","3,700","3,405","3,254","3,240","3,142","3,215","2,935","2,736","2,810","2,368","2,570","2,207","2,070","1,904","2,012","1,703","1,948","1,856","2,212","1,999","1,817","1,634","1,571","1,507","1,558","1,226","1,082","1,079","845","1,001","868","787","824","547","668","662","762","759","650","606","607","562","493","504","474","409","381","301","250","211","208","146","107","61","54","29","36","24","8","46"
"경기도  (4100000000)","6,711,047","6,711,047","40,285","46,828","50,839","56,998","63,310","65,876","64,116","68,546","69,864","71,029","65,637","66,523","71,466","66,607","63,008","63,282","67,725","67,954","73,621","84,647","86,387","85,263","89,019","90,666","96,713","98,132","100,124","102,148","101,727","92,292","90,351","88,882","86,033","87,301","91,069","91,244","99,378","110,674","119,525","120,779","119,820","108,571","107,704","107,190","108,441","113,434","122,452","123,885","125,817","128,858","122,573","126,531","111,006","109,648","109,945","110,865","99,702","114,205","103,063","116,996","107,530","96,504","90,059","80,139","74,147","74,743","57,940","55,406","52,588","39,154","44,260","41,300","42,311","40,885","28,519","30,726","28,012","31,117","30,220","24,432","21,526","19,870","17,304","15,231","12,707","10,758","8,306","6,600","5,283","3,830","3,094","2,580","1,786","1,262","850","659","571","555","353","243","1,113","6,626,973","6,626,973","38,591","44,044","48,557","53,730","60,790","62,728","61,441","65,402","66,323","67,644","62,161","63,306","67,696","63,450","59,402","60,453","64,378","63,295","67,925","78,087","79,417","78,052","82,310","83,973","87,074","86,663","88,040","89,435","90,120","83,705","81,532","81,317","80,464","82,395","86,220","86,852","94,747","105,527","114,730","115,770","115,811","105,703","104,699","102,607","105,184","110,090","119,586","120,502","120,484","124,683","118,943","125,608","112,330","106,799","105,314","107,293","94,727","107,329","99,550","114,598","105,812","94,510","87,154","80,411","75,186","77,525","60,219","58,161","55,975","43,000","48,847","46,153","47,607","47,718","33,412","37,775","36,773","40,290","40,252","33,888","31,716","30,601","27,145","25,828","23,518","20,994","17,657","15,006","12,867","10,209","9,126","7,625","6,035","4,498","3,275","2,397","1,698","1,714","1,062","696","3,052"
